Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
363.168,126.868,358.121,µm,Spot,Position,1,119
374.205,114.706,363.723,µm,Spot,Position,1,120
342.401,138.313,363.951,µm,Spot,Position,1,121
351.838,127.927,367.172,µm,Spot,Position,1,122
330.419,142.679,372.392,µm,Spot,Position,1,123
362.658,116.671,373.068,µm,Spot,Position,1,124
339.811,130.022,378.062,µm,Spot,Position,1,125
318.7,145.162,381.964,µm,Spot,Position,1,126
351.205,118.861,383.603,µm,Spot,Position,1,127
328.658,133.856,387.963,µm,Spot,Position,1,128
363.286,109.121,389.308,µm,Spot,Position,1,129
339.942,123.228,394.16,µm,Spot,Position,1,130
317.303,138.805,397.728,µm,Spot,Position,1,131
351.85,112.876,399.545,µm,Spot,Position,1,132
328.703,128.13,404.058,µm,Spot,Position,1,133
398.918,115.656,343.73,µm,Spot,Position,1,134
386.777,114.971,352.79,µm,Spot,Position,1,135
604.415,110.951,353.896,µm,Spot,Position,1,136
623,118.767,364.976,µm,Spot,Position,1,137
612.473,107.817,366.214,µm,Spot,Position,1,138
631.368,116.946,377.564,µm,Spot,Position,1,139
639.046,118.048,390.922,µm,Spot,Position,1,140
627.277,107.38,392.145,µm,Spot,Position,1,141
633.93,109.74,405.543,µm,Spot,Position,1,142
640.898,129.324,376.788,µm,Spot,Position,1,143
649.478,129.992,388.125,µm,Spot,Position,1,144
658.344,142.732,388.227,µm,Spot,Position,1,145
666.332,144.525,400.175,µm,Spot,Position,1,146
673.2,156.835,400.207,µm,Spot,Position,1,147
656.974,131.371,402.166,µm,Spot,Position,1,148
645.901,120.148,403.62,µm,Spot,Position,1,149
277.354,179.642,400.772,µm,Spot,Position,1,150
748.077,807.817,397.425,µm,Spot,Position,1,151
754.714,800.351,407.403,µm,Spot,Position,1,152
376.304,881.737,388.057,µm,Spot,Position,1,153
363.8,875.859,395.845,µm,Spot,Position,1,154
352.217,868.975,403.129,µm,Spot,Position,1,155
688.018,870.216,351.551,µm,Spot,Position,1,156
677.861,882.093,351.55,µm,Spot,Position,1,157
696.672,870.716,364.137,µm,Spot,Position,1,158
686.018,883.052,364.827,µm,Spot,Position,1,159
