Position X,Position Y,Position Z,Unit,Category,Collection,Time,Default.Labels,ID
404.277,875.806,401.653,µm,Spot,Position,1,,119
384.26,863.323,404.099,µm,Spot,Position,1,,120
625.823,882.085,348.511,µm,Spot,Position,1,,125
637.127,875.81,351.031,µm,Spot,Position,1,,126
655.347,868.034,358.856,µm,Spot,Position,1,,127
645.626,876.905,358.97,µm,Spot,Position,1,,128
653.215,877.615,367.406,µm,Spot,Position,1,,129
663.301,868.069,368.318,µm,Spot,Position,1,,130
672.426,857.995,367.944,µm,Spot,Position,1,,131
687.497,847.968,376.938,µm,Spot,Position,1,,132
679.847,858.316,377.738,µm,Spot,Position,1,,133
671.298,868.744,377.356,µm,Spot,Position,1,,134
660.199,877.395,378.164,µm,Spot,Position,1,,135
695.178,845.334,386.965,µm,Spot,Position,1,,136
687.469,857.525,388.441,µm,Spot,Position,1,,137
677.414,866.974,389.046,µm,Spot,Position,1,,138
666.689,876.906,389.574,µm,Spot,Position,1,,139
702.191,843.112,397.872,µm,Spot,Position,1,,140
693.793,854.254,399.096,µm,Spot,Position,1,,141
684.346,865.128,399.501,µm,Spot,Position,1,,142
673.365,874.555,400.467,µm,Spot,Position,1,,143
661.305,883.185,401.004,µm,Spot,Position,1,,144
708.649,831.294,396.816,µm,Spot,Position,1,,145
716.144,828.207,407.173,µm,Spot,Position,1,,146
435.892,888.44,392.827,µm,Spot,Position,1,,147
424.152,886.854,400.176,µm,Spot,Position,1,,148
436.129,893.998,405.435,µm,Spot,Position,1,,149
490.169,893.152,364.088,µm,Spot,Position,1,,150
501.894,898.049,366.026,µm,Spot,Position,1,,151
468.483,889.34,369.827,µm,Spot,Position,1,,153
479.356,894.626,371.615,µm,Spot,Position,1,,154
491.429,900.962,375.013,µm,Spot,Position,1,,155
457.087,888.978,376.732,µm,Spot,Position,1,,156
504.164,905.924,378.189,µm,Spot,Position,1,,157
468.511,896.341,380.646,µm,Spot,Position,1,,158
446.989,889.447,384.413,µm,Spot,Position,1,,159
481.039,902.004,383.932,µm,Spot,Position,1,,160
493.603,907.415,387.64,µm,Spot,Position,1,,161
457.608,896.725,388.67,µm,Spot,Position,1,,162
507.173,911.574,390.886,µm,Spot,Position,1,,163
470.126,902.56,393.032,µm,Spot,Position,1,,164
483.295,907.551,396.509,µm,Spot,Position,1,,165
447.26,895.394,397.306,µm,Spot,Position,1,,166
496.936,911.188,400.586,µm,Spot,Position,1,,167
459.188,902.09,401.656,µm,Spot,Position,1,,168
472.195,907.271,405.775,µm,Spot,Position,1,,169
554.878,895.148,348.216,µm,Spot,Position,1,,171
567.648,897.909,350.377,µm,Spot,Position,1,,172
533.688,894.973,353.591,µm,Spot,Position,1,,173
545.669,899.795,355.751,µm,Spot,Position,1,,174
511.946,894.612,357.673,µm,Spot,Position,1,,175
559.163,903.257,357.874,µm,Spot,Position,1,,176
573.06,904.418,360.031,µm,Spot,Position,1,,177
523.668,899.719,360.629,µm,Spot,Position,1,,178
536.194,904.467,363.233,µm,Spot,Position,1,,179
549.749,907.4,366.463,µm,Spot,Position,1,,180
514.149,902.865,369.46,µm,Spot,Position,1,,181
564.317,908.999,369.174,µm,Spot,Position,1,,182
526.873,907.415,372.416,µm,Spot,Position,1,,183
540.626,910.633,375.697,µm,Spot,Position,1,,184
555.271,913.092,378.408,µm,Spot,Position,1,,185
570.025,913.625,380.771,µm,Spot,Position,1,,186
516.994,910.463,381.32,µm,Spot,Position,1,,187
530.878,914.103,384.818,µm,Spot,Position,1,,188
545.144,915.222,387.808,µm,Spot,Position,1,,189
560.366,916.004,390.976,µm,Spot,Position,1,,190
521.417,914.537,394.272,µm,Spot,Position,1,,191
535.154,916.729,397.588,µm,Spot,Position,1,,192
550.974,918.058,400.905,µm,Spot,Position,1,,193
510.869,915.341,403.696,µm,Spot,Position,1,,194
566.268,917.595,403.543,µm,Spot,Position,1,,195
525.897,917.396,407.322,µm,Spot,Position,1,,197
601.595,890.102,345.954,µm,Spot,Position,1,,198
588.824,891.886,344.723,µm,Spot,Position,1,,199
614.368,886.824,346.431,µm,Spot,Position,1,,200
581.439,898.978,351.503,µm,Spot,Position,1,,201
594.7,897.358,353.413,µm,Spot,Position,1,,202
608.616,894.798,354.652,µm,Spot,Position,1,,203
621.093,890.15,356.716,µm,Spot,Position,1,,204
633.971,884.988,357.744,µm,Spot,Position,1,,205
587.181,904.239,361.602,µm,Spot,Position,1,,206
601.865,901.705,363.818,µm,Spot,Position,1,,207
628.963,893.263,366.202,µm,Spot,Position,1,,208
615.129,897.099,365.504,µm,Spot,Position,1,,209
578.681,908.534,371.725,µm,Spot,Position,1,,210
593.464,907.427,373.192,µm,Spot,Position,1,,211
608.156,903.952,375.123,µm,Spot,Position,1,,212
622.257,899.354,376.866,µm,Spot,Position,1,,213
636.078,893.537,377.843,µm,Spot,Position,1,,214
585.126,912.216,383.296,µm,Spot,Position,1,,215
599.894,908.213,385.616,µm,Spot,Position,1,,216
614.588,904.639,386.84,µm,Spot,Position,1,,217
628.817,899.601,388.203,µm,Spot,Position,1,,218
576.003,915.003,393.211,µm,Spot,Position,1,,219
590.873,912.305,395.553,µm,Spot,Position,1,,220
606.336,909.315,398.068,µm,Spot,Position,1,,221
620.424,903.379,399.629,µm,Spot,Position,1,,222
635.178,898.417,399.8,µm,Spot,Position,1,,223
581.534,914.893,406.246,µm,Spot,Position,1,,224
641.835,886.196,367.099,µm,Spot,Position,1,,225
648.508,886.123,378.094,µm,Spot,Position,1,,226
655.227,885.978,389.354,µm,Spot,Position,1,,227
642.758,893.576,389.306,µm,Spot,Position,1,,228
648.292,891.416,401.147,µm,Spot,Position,1,,229
412.959,104.86,412.196,µm,Spot,Position,1,,230
426.748,99.7095,416.278,µm,Spot,Position,1,,231
440.902,94.9725,420.736,µm,Spot,Position,1,,232
416.993,102.904,425.846,µm,Spot,Position,1,,233
430.955,97.8685,430.361,µm,Spot,Position,1,,234
406.121,106.526,435.477,µm,Spot,Position,1,,235
421.295,101.885,440.079,µm,Spot,Position,1,,236
436.193,97.4602,444.028,µm,Spot,Position,1,,237
410.557,105.787,450.341,µm,Spot,Position,1,,238
425.892,102.536,453.979,µm,Spot,Position,1,,239
441.091,98.5557,457.929,µm,Spot,Position,1,,240
415.617,107.055,463.604,µm,Spot,Position,1,,241
431.043,103.547,467.677,µm,Spot,Position,1,,242
506.915,87.9303,409.27,µm,Spot,Position,1,,243
451.269,92.84,410.424,µm,Spot,Position,1,,244
466.122,89.2908,413.951,µm,Spot,Position,1,,245
481.731,87.833,417.166,µm,Spot,Position,1,,246
497.652,87.32,420.095,µm,Spot,Position,1,,247
456.212,91.5596,424.308,µm,Spot,Position,1,,248
471.734,89.7975,427.633,µm,Spot,Position,1,,249
487.714,89.0785,430.221,µm,Spot,Position,1,,250
503.211,87.9384,432.798,µm,Spot,Position,1,,251
446.081,94.7803,434.133,µm,Spot,Position,1,,252
461.384,91.5808,437.998,µm,Spot,Position,1,,253
477.332,90.3245,440.489,µm,Spot,Position,1,,254
493.49,90.2509,443.466,µm,Spot,Position,1,,255
508.884,90.6718,445.864,µm,Spot,Position,1,,256
451.673,94.5794,447.773,µm,Spot,Position,1,,257
467.236,92.9507,451.013,µm,Spot,Position,1,,258
483.627,91.8446,453.965,µm,Spot,Position,1,,259
499.254,93.2535,456.147,µm,Spot,Position,1,,260
457.389,96.5249,461.327,µm,Spot,Position,1,,261
489.592,95.5841,466.572,µm,Spot,Position,1,,263
505.611,96.1858,468.636,µm,Spot,Position,1,,264
447.133,100.98,471.092,µm,Spot,Position,1,,265
522.054,88.3327,411.383,µm,Spot,Position,1,,267
537.396,90.7646,412.797,µm,Spot,Position,1,,268
552.549,94.8661,413.869,µm,Spot,Position,1,,269
567.583,98.7648,414.356,µm,Spot,Position,1,,270
512.547,88.1301,422.167,µm,Spot,Position,1,,271
527.939,89.8842,423.822,µm,Spot,Position,1,,272
543.71,92.3651,425.354,µm,Spot,Position,1,,273
573.229,101.44,425.949,µm,Spot,Position,1,,274
558.826,95.8059,426.346,µm,Spot,Position,1,,275
518.596,89.8068,434.786,µm,Spot,Position,1,,276
534.233,92.5442,436.333,µm,Spot,Position,1,,277
549.653,95.2076,437.468,µm,Spot,Position,1,,278
564.722,99.6306,437.814,µm,Spot,Position,1,,279
