NaN,NaN
16,6
NaN,NaN
18,28
11,24
29,21
23.549,24
30,21
23.252,21.801
-19,28
64,31
57.599,24
11,-3
NaN,NaN
NaN,NaN
24,31
32,21
7,30.609
12,27
16,25.276
2,25
21,37
14,27
NaN,NaN
21,35
18,37
22.019,13
24,15
25,14
17.891,14
23,20
15,12
13,10
NaN,NaN
36,17
NaN,NaN
7.1098,14
6.073,16
37,16
23.44,16
22,17
NaN,NaN
8,16
29,11
29,11.259
NaN,NaN
45.506,17
49.732,23
NaN,NaN
97,31
117,-7.6953e-08
NaN,NaN
13.326,27
18,23.773
NaN,NaN
35,19
23,21
38,29
38,23.194
34,19.108
NaN,NaN
12.1,4.8669
43,11
11.387,34
14,27
NaN,NaN
NaN,NaN
19,32
17,35
25,33
11.077,14
15,12
NaN,NaN
42,17
22,23
11,27
11,25
12.203,22.814
27,20
11.487,17
15.919,18
16,21
23,21
16,17
9,17
32,22
6,2
13.003,-0.64804
3,-0.95274
31,15.66
27,-2.9575e-06
27,-10
25.189,-2
28,-3.837
-2.1316e-14,24
-1,30
24.863,-6
NaN,NaN
NaN,NaN
23.193,14
14.597,36
13.154,7.0547
21.601,14
28,16
NaN,NaN
NaN,NaN
32,20
38,16
22,8.1102
39,17
18,32
NaN,NaN
22.329,8
32,7.9993
18.828,13
NaN,NaN
12.509,-7.4056
14,-15
9,20
12,32
24,30
28,8.244
23,17
32.455,10
16.518,11
8.8333,12
21,9
23.487,7
26.403,17
38,14
21,3.9959
16.269,11
23.418,4.8707
23.039,7.2128
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
17.415,-2.7323
21.93,-1.5252
21.819,1
31,6
21.191,1.2898e-07
18,-1.8916
5,-10
-6,-15
14.05,-2
32,1.2285
31.207,-0.57504
6.81,-4
9.1905,-7.4988
24,25
NaN,NaN
30,23
7.3827,18
28,21
NaN,NaN
29,31
NaN,NaN
32,10.458
18.392,4
19,5
NaN,NaN
31,12.977
11,-1
32,16
40.614,19
3.6706,33
-6,31
11,37
11.252,37
13.591,37
NaN,NaN
3,28.338
20,23
9.9896,19.621
10,15.684
19,20.371
23,24
31,24
31,29
NaN,NaN
12,18.341
25,35
37,19
11,21.922
24,35
26,34
21,24
28,27
NaN,NaN
27,27
26,34
23,24
20,24
37,16
5.0897,24
8,22
26,34
22,16.816
23,31
3.5806,14
35,18
31.596,13
42,18
32.507,9
36,20
38,17
18,10
16.835,10
NaN,NaN
9.703,6.312
11,9
38,7
42,17
38,33
45.742,37
33,28
13,7
12,7.1934
12.549,8
NaN,NaN
NaN,NaN
NaN,NaN
40.001,29.502
NaN,NaN
50,28
40,19
52,30.435
37,15
42.629,19
39,16.974
40,18.586
47.275,31
37.809,12.853
NaN,NaN
37,19
31,11.348
31,9.5779
24,-3
27.313,5.0218
26.221,12.139
26,8.6362
NaN,NaN
7,23.745
2,25
5,28
37,19
25,12
-0.97914,-5
19.529,5.3536
32,21
13.686,-8
6,-5.3577
8.8654,-8.3919
26,-3
28.492,-2
17,-6.2772
20.747,-7.8397
-1,-7.2256
23.476,-4.4755
33,-4.1567
11,-5
18.974,-6.0595
13.351,-6
21,-5.6475
29.434,7.8066
38,0.22719
36.315,-4.4383
37.882,0.65477
58,31
38.998,1.2154
32,-0.42463
49.162,10
47,13.473
28,-1.4015
39,0.5919
34,-0.82821
42.336,0.77421
39,2
