74,25
18,27
61,36
48.19,15.505
35.906,29
41,18
NaN,NaN
26.472,-1
51,12
42.398,24
65,20
51.389,24
36,37
42.415,18
64,11.564
72,26
25,29
NaN,NaN
19,27
NaN,NaN
40,14
18,37
21,37
25,24
24,27
35,19
23,31
28,16.33
19,33
13,36.368
16.525,28
40.17,7
44,13
46,9.214
26,30
30,25
10,33
7.3384,36
12,37
21,34.316
12,37
NaN,NaN
24,30
27,27
20.138,26.671
NaN,NaN
31,20
NaN,NaN
35,19
NaN,NaN
11.514,32
24,6.6349
27.092,5.4725
25.065,4
45,19
51,36
54.343,35.999
37,21
52.344,23.976
4.2532,31
23,35
19,32
NaN,NaN
42,33.762
34.791,6
91,2
NaN,NaN
29.674,31
NaN,NaN
60,8.3427
62.177,25
NaN,NaN
26,10.81
63,30
-3,18.861
9,11
49.536,22
63,10.564
76,23
71,28
70.276,10
36.638,37
NaN,NaN
NaN,NaN
70,30
65.134,3
24,25
19,27
-8,9
0.79551,31
30,18.633
NaN,NaN
NaN,NaN
42,13
30,13
17,10
50.297,21
NaN,NaN
NaN,NaN
14.819,35
17,31
5,33
13.984,37
10.756,37
6.0051,37
31,28
16,34
35,19
22,32
14.569,30
22,31.517
15.195,30
26,26
NaN,NaN
22.788,32
NaN,NaN
32,7
57,18.891
NaN,NaN
50,29.806
63,31
-6,33
19,9
NaN,NaN
8,5
22.343,10
15,8
-3,15
NaN,NaN
-6,16
58.912,20
81,24
84,27.811
76,25
87,31.924
76.653,24
84.944,28
75.516,21.517
89,27.781
8,29
33,20
7,37
30,25
5,37
26.873,21.013
NaN,NaN
9.4598,37
29,19
45,15
NaN,NaN
27,26
NaN,NaN
41,5
14,37
15,37
17.835,35
6,31
45,11
NaN,NaN
14,37
5.1733,-10
38,18
NaN,NaN
46,13
16,25
NaN,NaN
46,14
40,15
NaN,NaN
27,25
33,22
23,27
1,1
29,27
-3,2
14.747,12.703
60,-5
NaN,NaN
30,23.352
46,19.062
61.777,-2.3741
55.876,17
NaN,NaN
30.031,10
50,37
47,21
48,21
26.707,9
40.737,30.768
28.915,23
31,13
45.329,35
46,35
53.891,37
84.761,9
88,17
93.914,5
94.558,6.6831
91,3.1241
67.07,9
90.891,5.5183
73.301,3.9288
NaN,NaN
68,5
14,34
-1.2802,32
19.305,37
26,32
3.985,37
23,22
26,22
-14.646,-15
-14,-15
7,-13
16.173,2
29,10.667
13.714,-10
9,-15
16,-1.0655
-11.06,-14.76
7.2462,-5.2957
23.599,6.8052
75.834,7
69,19.298
35.607,12
33.995,11
34.704,14
28,5.9453
27.762,7
55.452,37
26.544,3.7331
58.55,37
63,34
55.566,37
57.437,32
38.173,20.38
43.566,24.625
26.404,7
NaN,NaN
NaN,NaN
36.706,-3
35.66,-1.8339
31.024,-3.7601
31.615,-6
29,-5
33.544,-3.7283
47.538,9
44.454,8.2454
41.321,3
60.261,14
46.165,5.545
49,12
